;Query;Tweet;Username;Date;Hashtags;Likes;Retweets;URL
0;['obama'];Now do Reagan through Obama. ;J_Dubya80;Thu Dec 17 14:01:56 +0000 2020;['No Hashtags'];0;0;['https://t.co/QEd7LnMW3E']
1;['obama'];      Why would Trump trust Obama’s pandemic team when literally every Obama loyalist in government was undermining him.;FightandDebate;Thu Dec 17 13:53:28 +0000 2020;['No Hashtags'];0;0;[]
2;['obama'];But Obama wore a tan suit? ;ssurovell;Thu Dec 17 13:53:57 +0000 2020;['No Hashtags'];52;7;['https://t.co/wr6XbZvQXt']
3;['obama'];"  Corona virus vaccine research was started and stopped under G Bush. Started again under Obama with vigor. Stopped under Trump but restarted late.

Thanks mostly to B Obama for laying the groundwork for this. Trump spent more time arguing against masks.";EntropyJimJohn;Thu Dec 17 14:14:07 +0000 2020;['No Hashtags'];0;0;[]
4;['obama'];GOP congressman who once shouted ‘you lie’ during Obama address tests positive for Covid ;thomaskaine5;Thu Dec 17 14:12:41 +0000 2020;['No Hashtags'];85;27;['https://t.co/2HVGDpakUR']
5;['obama'];GOP congressman who once shouted ‘you lie’ during Obama address tests positive for Covid - ;santo_aol;Thu Dec 17 14:04:24 +0000 2020;['No Hashtags'];1;0;['https://t.co/u60Y6YhDQ3']
6;['obama'];     Biden worked as VP under Obama and handled H1N1 pandemic, only 12000 ppl died during the entire pandemic. Of course, Trump criticized Obama that the deaths were too many, that he did a poor job. Now under his covid pandemic, over 308,000 ppl have died in 9 months and counting.;Cece57938158;Thu Dec 17 14:21:17 +0000 2020;['No Hashtags'];0;0;[]
7;['obama'];Has Obama taken the vaccine? I’ll take it if Barry takes it 😌;Chels_Ayyeee;Thu Dec 17 14:19:23 +0000 2020;['No Hashtags'];0;0;[]
8;['obama'];   Was just looking to see whether Obama pardoned him for that cough drop so I could write the same thing if he hadn't;Playerinthgame;Thu Dec 17 14:32:36 +0000 2020;['No Hashtags'];2;0;[]
9;['obama'];     These Trumpublkkkans would be the ones first in line to call for the president's execution if this pandemic was on Obama's watch.;JonathanTrubow;Thu Dec 17 14:35:05 +0000 2020;['No Hashtags'];2;0;[]
10;['obama']; They had an article talking about Clinton and Obama might take the vaccine publicly to convince people it was safe to....🥴;L_Rocks_Well;Thu Dec 17 14:11:05 +0000 2020;['No Hashtags'];0;0;[]
11;['obama'];Supreme Court Signals That the Religious Freedom Is a Real Thing and That It Is Tired of Games Played by Some Governors and Obama Judges ;yportbill;Thu Dec 17 14:37:35 +0000 2020;['No Hashtags'];0;0;['https://t.co/DtS5GtEM8f']
12;['obama'];  Bullshit. Do a little research. Fewer than 13,000 died from H1N1 (swine flu), also a coronavirus. On Obama's watch.;t_off_time;Thu Dec 17 14:14:39 +0000 2020;['No Hashtags'];0;0;[]
13;['obama'];I thought Biden and Obama were supposed to be getting the vaccine before everyone else. Where’s the live vaccination video at? ;thesarah_o;Thu Dec 17 14:08:50 +0000 2020;['No Hashtags'];6;0;['https://t.co/VGhNZtXL7G']
14;['obama'];SES, the Obama silent army,  embedded deep within the gov.  See how biased and ignorant they really are!  Full display.   ;AirbusCaptain06;Thu Dec 17 13:59:26 +0000 2020;['No Hashtags'];0;0;['https://t.co/xI7uTEMAUr']
15;['obama']; If he was pro life he wouldn’t have dropped twice as many bombs as Obama or allowed covid to run rampant in America;electri56500175;Thu Dec 17 14:27:56 +0000 2020;['No Hashtags'];0;0;[]
16;['obama'];  PLEASE can we see this prick in jail. Biden and Obama got immunity, so please give us this soyboy.;lauzille;Thu Dec 17 13:51:52 +0000 2020;['No Hashtags'];0;0;[]
17;['obama'];"You don't want to know what my thoughts are congressman:
GOP congressman who once shouted ‘you lie’ during Obama address tests positive for Covid  via ";davida76321;Thu Dec 17 13:52:40 +0000 2020;['No Hashtags'];6;2;['https://t.co/jkYAmym7tx']
18;['obama']; You have a big problem. Go back to the Wuhan Lab where you delivered millions of dollars from Obama to give to Gates at the Wuhan Lab.;faro_eleanor;Thu Dec 17 14:10:25 +0000 2020;['No Hashtags'];0;0;[]
19;['obama'];Shock as RAILA volunteers to be the first guinea pig of Covid-19 vaccine – I will be injected with the vaccine in front of the whole world like OBAMA and BIDEN ;TheKenyanPost;Thu Dec 17 13:49:52 +0000 2020;['No Hashtags'];0;0;['https://t.co/HQkJR5oT2w']
20;['pfizer']; No such concerns for the Pfizer vaccine. ;JohnMullahy;Thu Dec 17 14:13:54 +0000 2020;['No Hashtags'];12;0;['https://t.co/AdQaQSyKef']
21;['pfizer']; Can Pfizer get on with a vaccine for that please?;MarkH_Photo;Thu Dec 17 14:27:21 +0000 2020;['No Hashtags'];5;0;[]
22;['pfizer'];"Pfizer CEO won't take his own vaccine...😂😂🤷‍♂️🤷‍♂️

";ToolSalesJeff;Thu Dec 17 13:51:31 +0000 2020;['No Hashtags'];0;0;['https://t.co/NWEhHiT97u']
23;['pfizer']; From Pfizer absolutely not in waiting for a different option Pfizer’s track record is appalling and I remember the African kids they killed with their last rushed vaccine;Ravenstarwynd;Thu Dec 17 14:29:07 +0000 2020;['No Hashtags'];1;0;[]
24;['pfizer'];"the Pfizer mRNA vaccine is derived from fetal stem cells.  Any of you pro-life hypocrites are prohibited from being vaccinated

#Pfizer #Pfizervaccine #CoronaVaccine #CovidVaccines";SeventhSon6;Thu Dec 17 14:20:54 +0000 2020;['Pfizer', 'Pfizervaccine', 'CoronaVaccine', 'CovidVaccines'];0;0;[]
25;['pfizer'];  That stuff has more side-effects than the Pfizer vaccine.;nicomp;Thu Dec 17 14:38:49 +0000 2020;['No Hashtags'];1;0;[]
26;['pfizer'];What’s in Pfizer’s vaccine? A look at the ingredients - National |  ;mikemacgill77;Thu Dec 17 14:37:04 +0000 2020;['No Hashtags'];0;0;['https://t.co/CDtjpEVY6Y', 'https://t.co/IIu606azOv']
27;['pfizer'];Per article, the feds are blaming Pfizer for decreased vaccine, Pfizer claims they are sending agreed upon amount. Where is extra vaccine going? ;Luaalei;Thu Dec 17 14:33:25 +0000 2020;['No Hashtags'];0;0;['https://t.co/ZhYvL1j8Up']
28;['pfizer'];"This is why Pfizer can't provide more Covid-19 vaccines faster
";helenyg;Thu Dec 17 14:29:21 +0000 2020;['No Hashtags'];0;0;['https://t.co/Y9rzLqEDiR']
29;['pfizer'];"Pfizer Execs. don't want to take the vaccine..
 ";BootSalty;Thu Dec 17 14:27:27 +0000 2020;['No Hashtags'];1;0;['https://t.co/6YWKBi374t', 'https://t.co/Eda7la6D5g']
30;['pfizer'];Pfizer vaccine administered to surgeon in Nashville ;WJHL11;Thu Dec 17 14:24:44 +0000 2020;['No Hashtags'];2;0;['https://t.co/UeEUwhKJLx']
31;['pfizer'];What’s in Pfizer’s vaccine? A look at the ingredients - National |  ;syremuri;Thu Dec 17 14:14:31 +0000 2020;['No Hashtags'];0;0;['https://t.co/iwIMSSm11R', 'https://t.co/tevj20B111']
32;['pfizer'];"Key differences between the Moderna and Pfizer vaccines
";bleu_mule;Thu Dec 17 14:05:16 +0000 2020;['No Hashtags'];0;0;['https://t.co/YuKIUB0l6a']
33;['pfizer'];  Has nothing to do with Trump. And in fact, the US turned down extending its stock of the Pfizer vaccine this summer, when Pfizer was setting up orders with various countries. Duh.;PrettyGonzo;Thu Dec 17 14:01:38 +0000 2020;['No Hashtags'];0;0;[]
34;['pfizer'];if you’re the CEO of Pfizer don’t worry about what’s in the Vaccine 😂👌🤣 ;judgebeats;Thu Dec 17 14:01:30 +0000 2020;['No Hashtags'];16;2;['https://t.co/iHCJFhvYIo']
35;['pfizer'];"While they’re all dumping shares...🧐

PFIZER:


MODERNA:
 ";donottrustrobo1;Thu Dec 17 14:01:09 +0000 2020;['No Hashtags'];1;0;['https://t.co/BTO97RidHW', 'https://t.co/MvfdgbWBSb', 'https://t.co/D5B3MqbrZU']
36;['pfizer']; If you get a boner after the vaccine then you know it is Pfizer. 🤣;KKMan20xx;Thu Dec 17 13:49:31 +0000 2020;['No Hashtags'];1;0;[]
37;['pfizer'];"Saudi Arabia starts mass vaccination program against Covid-19 becoming first Arab country to roll out the Pfizer jab
#Pfizer #PfizerCOVIDvaccine #SaudiArabia #vaccination
 ";real_TomThorp;Thu Dec 17 14:31:36 +0000 2020;['Pfizer', 'PfizerCOVIDvaccine', 'SaudiArabia', 'vaccination'];0;0;['https://t.co/IYPWwk2Nwb']
38;['pfizer'];Congratulations to those getting that unexpected sixth or seventh dose of vaccine in Pfizer’s overfilled vials. Here’s hoping Pfizer was more exacting making those doses than they were in doling and dosing them out.;craigball;Thu Dec 17 14:13:31 +0000 2020;['No Hashtags'];0;0;[]
39;['pfizer'];  Thanks Angela Markell for funding Pfizer’s vaccine.;ndionne2020;Thu Dec 17 14:39:21 +0000 2020;['No Hashtags'];0;0;[]
40;['trump'];   Credit ..OK ...I will have a go ..Trump plague .. Trump virus .Trump disease.... Trump COVID... Trump Superspreader;ATheraspberry;Thu Dec 17 14:35:31 +0000 2020;['No Hashtags'];0;0;[]
41;['trump']; Trump had fake COVID or the Trump Virus.;CurtisReece10;Thu Dec 17 14:31:47 +0000 2020;['No Hashtags'];0;0;[]
42;['trump'];Do you think Trump is a Bully ?Are you proud of Trumps Tweets ?  Did Trump set a good example for Americans to wear a mask ?  Are you Thankful for Trump being a Womanizer? ;scrowson2;Thu Dec 17 14:18:43 +0000 2020;['No Hashtags'];0;0;['https://t.co/tz83gcHSA0']
43;['trump'];thats what trump gets ;Awes_meWasTaken;Thu Dec 17 14:32:30 +0000 2020;['No Hashtags'];0;0;['https://t.co/68ZhU0q1fe']
44;['trump'];"   It’s Trump’s fault

";HorizonUnltd;Thu Dec 17 14:30:18 +0000 2020;['No Hashtags'];0;0;['https://t.co/j0Ckc9GEQn']
45;['trump']; The TRUMP Vaccine!!!;transpo01;Thu Dec 17 14:30:18 +0000 2020;['No Hashtags'];0;0;[]
46;['trump'];So did we that's why Trump Lost ;bynsny;Thu Dec 17 14:30:00 +0000 2020;['No Hashtags'];2;2;['https://t.co/MbPMxbSCRs']
47;['trump'];Right up there with Trumps ;nancy11603700;Thu Dec 17 14:25:00 +0000 2020;['No Hashtags'];0;0;['https://t.co/zOA3Y2Jeii']
48;['trump'];Trump Genocide ;ShariFreeWill;Thu Dec 17 14:23:46 +0000 2020;['No Hashtags'];1;0;['https://t.co/hCx0VlxqL5']
49;['trump'];How is Trump's virus? ;PlechaRick;Thu Dec 17 14:18:15 +0000 2020;['No Hashtags'];0;0;['https://t.co/KqsuaPpv25']
50;['trump'];Trump is immune ;Idontgetit2011;Thu Dec 17 14:13:30 +0000 2020;['No Hashtags'];1;0;['https://t.co/ng8xtG9lWR']
51;['trump'];Trump Disaster!!! ;Thomas35395230;Thu Dec 17 14:10:49 +0000 2020;['No Hashtags'];0;0;['https://t.co/qYtbAGgxGA']
52;['trump'];"GO TRUMP!

";totoluiz;Thu Dec 17 14:07:51 +0000 2020;['No Hashtags'];0;0;['https://t.co/r2J1WzNgK3']
53;['trump'];I hate tRUmp ;BeamingWithBlue;Thu Dec 17 14:00:28 +0000 2020;['No Hashtags'];0;0;['https://t.co/pAsvjpaiHD']
54;['trump']; Covid and Trump. And that's about it.;RussellShackle;Thu Dec 17 13:57:40 +0000 2020;['No Hashtags'];0;0;[]
55;['trump'];Trump ollie-ing on a cigarette. The Trump is actually Communism. (with COVID-19).;newbanksy;Thu Dec 17 14:31:54 +0000 2020;['No Hashtags'];0;0;[]
56;['trump'];" CLOSED BY PANDEMIC! 40,000one day.

Trumps MESS not CUOMO! 

Trump dislikes CUOMO now bc he took care of NY with TRUMP attempts to write NY off the MAP. 

Trump belongs in FL.";CambridgeCausa1;Thu Dec 17 14:09:43 +0000 2020;['No Hashtags'];0;0;[]
57;['trump'];"Covid 19 should be officially changed to ""TRUMP PANDEMIC - TRUMP GENOCIDE."" ";1ViDel;Thu Dec 17 14:29:19 +0000 2020;['No Hashtags'];1;0;['https://t.co/Y7ksf2PJlg']
58;['trump']; These idiots love Trump. His crowning achievement (No one else could have done it!) was rushing a vaccine to Americans. His supporters want to name the damn thing Trump. But they won’t take the “Trump” vaccine because... Trump rushed it. Do I have that right? ;TheRedMenaceOK;Thu Dec 17 14:10:19 +0000 2020;['No Hashtags'];0;0;['https://t.co/wAvxD3pbKm']
59;['trump']; GET THIS STRAIGHT: TRUMP WANTED TO INFECT AMERICANS. TRUMP BLOCKED VACCINES FROM U.S. THESE SCIENTISTS NOT TRUMP ARE RESPONSIBLE FOR THE VACCINE THAT WILL SAVE MILLIONS. ;Daniell08226138;Thu Dec 17 13:58:30 +0000 2020;['No Hashtags'];0;0;['https://t.co/JVhv4NYtZk']
60;['moderna']; do you own stock in Moderna? ;FloridaNathan;Thu Dec 17 14:38:18 +0000 2020;['No Hashtags'];1;0;['https://t.co/O1sAZIo4EX']
61;['moderna'];Moderna Requests Vaccine Authorization ;lendershouston;Thu Dec 17 14:39:11 +0000 2020;['No Hashtags'];0;0;['https://t.co/07agOlAJBy']
62;['moderna']; you omitted fact that head of OWS Slaoui came from Moderna. Bias? Moderna has never brought a vaccine to market? ;DSMagicMonkey;Thu Dec 17 14:27:56 +0000 2020;['No Hashtags'];0;0;['https://t.co/ZtNBa2jwZP']
63;['moderna'];"MUST READ!! 🤜🤛👊
#COVID19Vaccine
#Moderna ";NrIsodera;Thu Dec 17 14:23:36 +0000 2020;['COVID19Vaccine', 'Moderna'];0;0;['https://t.co/5v8e2JgQmW']
64;['moderna'];Moderna vaccine looking very promising: ;JWStol;Thu Dec 17 14:15:08 +0000 2020;['No Hashtags'];0;0;['https://t.co/hbNg69mdRn']
65;['moderna'];Moderna has never had a vaccine come to market. Trump gave Moderna tons of money. Their trials consisted of a small amount of people. Convince me it is as safe as the others?;juneofla;Thu Dec 17 14:15:16 +0000 2020;['No Hashtags'];1;0;[]
66;['moderna'];"Key differences between the Moderna and Pfizer vaccines
";bleu_mule;Thu Dec 17 14:05:16 +0000 2020;['No Hashtags'];0;0;['https://t.co/YuKIUB0l6a']
67;['moderna'];"While they’re all dumping shares...🧐

PFIZER:


MODERNA:
 ";donottrustrobo1;Thu Dec 17 14:01:09 +0000 2020;['No Hashtags'];1;0;['https://t.co/BTO97RidHW', 'https://t.co/MvfdgbWBSb', 'https://t.co/D5B3MqbrZU']
68;['moderna'];Watch the FDA Review of the Moderna Vaccine:  ;Eric_Holdeman;Thu Dec 17 13:50:22 +0000 2020;['No Hashtags'];0;0;['https://t.co/P8mvbzVcy8']
69;['moderna'];"The underlying value in Moderna is the tech.
 
mRNA will eventually be used to create vaccines for everything from cancer to HIV.
 
So we are buying future cashflow in Moderna not just COVID cashflow.";tayooye;Thu Dec 17 14:11:08 +0000 2020;['No Hashtags'];6;2;[]
70;['moderna'];"What we know about Moderna's coronavirus vaccine and how it differs from Pfizer's

";corvid317;Thu Dec 17 14:37:33 +0000 2020;['No Hashtags'];0;0;['https://t.co/CUITYV3C0O']
71;['moderna'];"FDA submits Moderna vaccine against covid for review...
";OffTheBUSnews;Thu Dec 17 14:32:13 +0000 2020;['No Hashtags'];0;0;['https://t.co/GFq0FwZbUa']
72;['moderna'];FDA Panel Weighs Moderna's COVID-19 Vaccine ;TwitmoGotMeDown;Thu Dec 17 14:30:58 +0000 2020;['No Hashtags'];0;0;['https://t.co/cpObzvT33O']
