;Query;Tweet;Username;Date;Hashtags;Likes;Retweets;URL
0;Obama;Now do Reagan through Obama. https://t.co/QEd7LnMW3E;J_Dubya80;Thu Dec 17 14:01:56 +0000 2020;['No Hashtags'];0;0;['https://t.co/QEd7LnMW3E']
1;Obama;In fairness, the President is a dumb fucker. https://t.co/8kePv6JmrQ;JoHoSnow;Thu Dec 17 13:50:01 +0000 2020;['No Hashtags'];0;0;['https://t.co/8kePv6JmrQ']
2;Obama;of course President Xi has absolutely no idea... https://t.co/wT12HGwlO1;spencerreiss;Thu Dec 17 13:52:16 +0000 2020;['No Hashtags'];0;0;['https://t.co/wT12HGwlO1']
3;Obama;"This kind of callousness started at the top with Donald Trump. Leadership matters. Thank you, Joe Biden, that accountability is coming.

https://t.co/B0RhsMRUL1";JanEngleLewis1;Thu Dec 17 14:08:45 +0000 2020;['No Hashtags'];0;0;['https://t.co/B0RhsMRUL1']
4;Obama;@GovChristie @gtconway3d Too late Christie. Way damn late. You literally encouraged a psychopath to attack President Elect Biden to trigger a stutter. You are DEPLORABLE to your CORE. You downplayed COVID to keep favor of that same psychopath. We will NEVER FORGET.;MrsWormdog;Thu Dec 17 14:13:02 +0000 2020;['No Hashtags'];0;0;[]
5;Obama;@ndkirschmann @TNMilitaryDept Because of those particular tweets? Or because her timeline is full of election conspiracy theories and anti-mask nonsense?;timmathews;Thu Dec 17 14:38:25 +0000 2020;['No Hashtags'];12;1;[]
6;Obama;Late Nite Comics guess what happens to Trump if neighbors bar him from Mar-a-Lago https://t.co/UrSpahoj9Z via @flipboard #Trump #facts #covid19 #Fauci #GOPBetrayedAmerica #CNN #Democrats #Trump2020 @FameRTR #NYT #Biden #TrumpIsPathetic #TrumpIsACriminal #TrumpIsACompleteFailure;GWx2;Thu Dec 17 14:06:53 +0000 2020;['Trump', 'facts', 'covid19', 'Fauci', 'GOPBetrayedAmerica', 'CNN', 'Democrats', 'Trump2020', 'NYT', 'Biden', 'TrumpIsPathetic', 'TrumpIsACriminal', 'TrumpIsACompleteFailure'];0;0;['https://t.co/UrSpahoj9Z']
7;Obama;"Guess what two corrupt ignorant pathetic unAmerican unpatriotic treasonous complicit Russian loving assholes said that the Coronavirus would not come back in the winter...Lying Donald Trump &amp; his equally pathetic Lapdog Yes Man Lying Mike Pence";GAGriffin2;Thu Dec 17 14:07:41 +0000 2020;['No Hashtags'];0;0;[]
8;Obama;notice the truth rolling out every day since the election was certified https://t.co/nrjQrkaFhk;StillMeDillon;Thu Dec 17 14:24:25 +0000 2020;['No Hashtags'];0;0;['https://t.co/nrjQrkaFhk']
9;Pfizer;Extra doses from vials of Pfizer’s Covid-19 vaccine can be used: USFDA https://t.co/IXYQ2sWDV3;ktnewslive;Thu Dec 17 14:34:32 +0000 2020;['No Hashtags'];0;0;['https://t.co/IXYQ2sWDV3']
10;Pfizer;How the Pfizer and Moderna COVID-19 vaccines compare l GMA https://t.co/O5kHuQq7DC;medicinehelp;Thu Dec 17 14:08:45 +0000 2020;['No Hashtags'];0;0;['https://t.co/O5kHuQq7DC']
11;Pfizer;Cheers to science! Received my first dose of the Pfizer vaccine this morning! #ScienceMatters;66hollyrenee;Thu Dec 17 14:09:36 +0000 2020;['ScienceMatters'];0;0;[]
12;Pfizer;Pfizer vaccine administered to surgeon in Nashville https://t.co/UeEUwhKJLx;WJHL11;Thu Dec 17 14:24:44 +0000 2020;['No Hashtags'];2;0;['https://t.co/UeEUwhKJLx']
13;Pfizer;Covenant HealthCare in Saginaw will be receiving its first shipment of Pfizer’s COVID-19 vaccine. https://t.co/pAP0PegdRq;WNEMTV5news;Thu Dec 17 14:24:51 +0000 2020;['No Hashtags'];2;0;['https://t.co/pAP0PegdRq']
14;Pfizer;Which vaccine are you taking? 💉#CoronavirusVaccine #CoronaVaccine #Pfizer #Moderna;Itsdivi_;Thu Dec 17 13:59:12 +0000 2020;['CoronavirusVaccine', 'CoronaVaccine', 'Pfizer', 'Moderna'];0;0;[]
15;Pfizer;Alex Azar details Pfizer COVID-19 vaccine rollout ‘hiccups’ https://t.co/9tyQxS9LJk via @foxnews;Chris_1791;Thu Dec 17 14:34:02 +0000 2020;['No Hashtags'];1;0;['https://t.co/9tyQxS9LJk']
16;Pfizer;Alex Azar details Pfizer COVID-19 vaccine rollout ‘hiccups’ https://t.co/sYf09BX11J;zyiteblog;Thu Dec 17 14:34:02 +0000 2020;['No Hashtags'];0;0;['https://t.co/sYf09BX11J']
17;Pfizer;@MuthuiMkenya The EU hasn't approved the Pfizer vaccine yet, had it been so, he would be out of danger.;eric_shiks;Thu Dec 17 14:03:54 +0000 2020;['No Hashtags'];0;0;[]
18;Trump;Never underestimate Trump🇺🇸 https://t.co/OiasQZpPq4;CodeMAGA_;Thu Dec 17 13:51:51 +0000 2020;['No Hashtags'];0;0;['https://t.co/OiasQZpPq4']
19;Trump;Trump Genocide https://t.co/hCx0VlxqL5;ShariFreeWill;Thu Dec 17 14:23:46 +0000 2020;['No Hashtags'];1;0;['https://t.co/hCx0VlxqL5']
20;Trump;@candinam next to Donald trump https://t.co/v7a8PXEESq;vahsi_who;Thu Dec 17 14:28:21 +0000 2020;['No Hashtags'];2;2;['https://t.co/v7a8PXEESq']
21;Trump;"@TheLeftAreNutz @Roland_Jenkins @ABC It’s Trump’s fault

https://t.co/j0Ckc9GEQn";HorizonUnltd;Thu Dec 17 14:30:18 +0000 2020;['No Hashtags'];0;0;['https://t.co/j0Ckc9GEQn']
22;Trump;Trump Disaster!!! https://t.co/qYtbAGgxGA;Thomas35395230;Thu Dec 17 14:10:49 +0000 2020;['No Hashtags'];0;0;['https://t.co/qYtbAGgxGA']
23;Trump;How is Trump's virus? https://t.co/KqsuaPpv25;PlechaRick;Thu Dec 17 14:18:15 +0000 2020;['No Hashtags'];0;0;['https://t.co/KqsuaPpv25']
24;Trump;Trump ollie-ing on a cigarette. The Trump is actually Communism. (with COVID-19).;newbanksy;Thu Dec 17 14:31:54 +0000 2020;['No Hashtags'];0;0;[]
25;Trump;Absolutely…we could not have done worse…thanks to Trump and the Trumpettes….Jared!!!  And Mikey and Mother. https://t.co/SmHRGMrthy;madamdefargeGW;Thu Dec 17 14:26:33 +0000 2020;['No Hashtags'];0;0;['https://t.co/SmHRGMrthy']
26;Trump;Yup! That would be trumps sycophant! https://t.co/KLa00pmNfK;boomer55u;Thu Dec 17 14:27:18 +0000 2020;['No Hashtags'];1;0;['https://t.co/KLa00pmNfK']
27;Moderna;@GovRonDeSantis do you own stock in Moderna? https://t.co/O1sAZIo4EX;FloridaNathan;Thu Dec 17 14:38:18 +0000 2020;['No Hashtags'];1;0;['https://t.co/O1sAZIo4EX']
28;Moderna;Watch the FDA Review of the Moderna Vaccine:  https://t.co/P8mvbzVcy8;Eric_Holdeman;Thu Dec 17 13:50:22 +0000 2020;['No Hashtags'];0;0;['https://t.co/P8mvbzVcy8']
